date,close,volume,open,high,low
7/10/18,322.47,9437557,324.56,327.6771,319.2
7/9/18,318.51,7579541,311.99,318.52,308
7/6/18,308.9,8860198,304.955,312.07,302
7/5/18,309.16,17457570,313.76,314.39,296.22
7/3/18,310.86,12282640,331.75,332.49,309.69
7/2/18,335.07,18732710,360.07,364.78,329.85
6/29/18,342.95,6475903,353.33,353.86,342.41
6/28/18,349.93,8388172,348.66,357.02,346.11
6/27/18,344.5,8313817,345,350.79,339.5
6/26/18,342,7434749,336.054,343.55,325.799
6/25/18,333.01,6925089,330.12,338.47,327.5
6/22/18,333.63,10253770,351.54,352.25,332
6/21/18,347.51,7949846,362,366.2139,346.27
6/20/18,362.22,8370268,358.04,364.38,352
6/19/18,352.55,12734840,365.16,370,346.25
6/18/18,370.83,12025450,355.4,373.73,354.5
6/15/18,358.17,10827560,353.84,364.67,351.25
6/14/18,357.72,10961150,347.63,358.75,346.6
6/13/18,344.78,9401467,346.706,347.2,339.8
6/12/18,342.77,22256430,344.7,354.97,338
6/11/18,332.1,13166050,322.51,334.66,322.5
6/8/18,317.66,8192175,319,324.48,317.15
6/7/18,316.09,14336110,316.15,330,313.58
6/6/18,319.5,18742400,300.5,322.17,297.48
6/5/18,291.13,5877873,297.7,297.8,286.74
6/4/18,296.74,4793787,294.34,299,293.548
6/1/18,291.82,5417984,285.86,291.95,283.839
5/31/18,284.73,5912825,287.21,290.37,282.93
5/30/18,291.72,7473590,283.29,295.005,281.6
5/29/18,283.76,5657153,278.51,286.5,276.15
5/25/18,278.85,3872621,277.625,279.64,275.61
5/24/18,277.85,4170789,278.4,281.11,274.89
5/23/18,279.07,5972237,277.76,279.9099,274
5/22/18,275.01,8938501,287.762,288,273.422
5/21/18,284.49,9167844,281.33,291.49,281.3
5/18/18,276.82,7243699,284.65,284.65,274
5/17/18,284.54,4418258,285.9,289.1873,283.97
5/16/18,286.48,5669644,283.83,288.81,281.56
5/15/18,284.18,9509753,285.01,286.96,280.5
5/14/18,291.97,7265501,303.32,304.94,291.62
5/11/18,301.06,4665321,307.7,308.88,299.08
5/10/18,305.02,5642771,307.4997,312.99,304.1119
5/9/18,306.85,5712255,300.41,307.01,300.05
5/8/18,301.97,5927447,300.795,307.75,299
5/7/18,302.77,8673090,297.5,305.9588,295.17
5/4/18,294.09,8565506,283,296.86,279.52
5/3/18,284.45,17339090,278.79,288.04,275.23
5/2/18,301.15,8346176,298.57,306.85,297.7844
5/1/18,299.92,4614946,293.51,300.82,293.22
4/30/18,293.9,4224068,293.61,298.73,292.5
4/27/18,294.075,4346854,285.37,294.47,283.83
4/26/18,285.48,4348108,278.75,285.79,276.5
4/25/18,280.69,4000421,283.5,285.16,277.25
4/24/18,283.46,5678242,285,287.09,278.46
4/23/18,283.37,4880743,291.29,291.62,282.33
4/20/18,290.24,5622630,295.17,299.98,289.75
4/19/18,300.08,6083800,291.08,301.01,288.55
4/18/18,293.35,6531563,291.08,300.24,288.16
4/17/18,287.69,6931152,288.87,292.17,282.51
4/16/18,291.21,6289497,299,299.66,289.01
4/13/18,300.34,7319225,303.6,303.9499,295.98
4/12/18,294.08,7595525,302.32,303.95,293.68
4/11/18,300.93,7470204,300.74,308.98,299.66
4/10/18,304.7,11017010,298.97,307.1,293.68
4/9/18,289.66,10241410,300.37,309.5,289.21
4/6/18,299.3,13516530,301,309.28,295.5
4/5/18,305.72,19025860,289.34,306.26,288.2
4/4/18,286.94,19880180,252.78,288.37,252
4/3/18,267.53,18829650,269.82,273.35,254.49
4/2/18,252.48,16093290,256.26,260.3318,244.5901
3/29/18,266.13,15014440,256.49,270.9599,248.21
3/28/18,257.78,20962280,264.58,268.68,252.1
3/27/18,279.18,13787060,304,304.27,277.18
3/26/18,304.18,8364937,307.34,307.59,291.36
3/23/18,301.54,6639960,311.25,311.61,300.45
3/22/18,309.1,4924928,313.89,318.82,308.18
3/21/18,316.53,5954247,310.25,322.44,310.19
3/20/18,310.55,4761031,314.87,316.25,308.76
3/19/18,313.56,7467890,316.5,320.75,309.67
3/16/18,321.35,6113365,325.96,327.4,319.07
3/15/18,325.6,6554568,329.38,332.85,321.1
3/14/18,326.63,7952152,336.76,339.81,323.93
3/13/18,341.84,5960636,344.92,345.12,336.2635
3/12/18,345.51,8252919,328.61,347.21,326.5
3/9/18,327.17,5502779,324.1,328.49,322.37
3/8/18,329.1,3514367,332.86,333.3,326.274
